id	description	type	language
4433510	0	Overwintering_pupa	en
4433510	1	Overwintering_adult	en
4433510	nocturnal	Diurnality	en
4433510	0	Habitat_urban	en
4433510	0	Habitat_agriculture	en
4433510	1	Habitat_forest	en
4433510	0	Habitat_grassland	en
4433510	0	Habitat_heathland	en
4433510	0	Habitat_dunes	en
4433510	0	Habitat_fresh_marshes	en
4433510	0	Habitat_salt_marshes	en
1967873	univoltine	Voltinism_max	en
1967873	1	Overwintering_egg	en
1967873	1	Overwintering_larva	en
1967873	0	Overwintering_pupa	en
1967873	0	Overwintering_adult	en
1967873	nocturnal	Diurnality	en
1967873	herbivore	Feeding_guild_larva	en
1967873	polyphagous	Trophic_range_larva	en
1967873	0	Habitat_urban	en
1967873	0	Habitat_agriculture	en
1967873	1	Habitat_forest	en
1967873	0	Habitat_grassland	en
1967873	0	Habitat_heathland	en
1967873	0	Habitat_dunes	en
1967873	0	Habitat_fresh_marshes	en
1967873	0	Habitat_salt_marshes	en
1967815	univoltine	Voltinism_max	en
1967815	0	Overwintering_egg	en
1967815	0	Overwintering_larva	en
1967815	1	Overwintering_pupa	en
1967815	0	Overwintering_adult	en
1967815	nocturnal	Diurnality	en
1967815	herbivore	Feeding_guild_larva	en
1967815	polyphagous	Trophic_range_larva	en
1967815	0	Habitat_urban	en
1967815	0	Habitat_agriculture	en
1967815	1	Habitat_forest	en
1967815	0	Habitat_grassland	en
1967815	0	Habitat_heathland	en
1967815	0	Habitat_dunes	en
1967815	0	Habitat_fresh_marshes	en
1967815	0	Habitat_salt_marshes	en
1767608	univoltine	Voltinism_max	en
1767608	0	Overwintering_egg	en
1767608	0	Overwintering_larva	en
1767608	1	Overwintering_pupa	en
1767608	0	Overwintering_adult	en
1767608	nocturnal	Diurnality	en
1767608	herbivore	Feeding_guild_larva	en
1767608	monophagous	Trophic_range_larva	en
1767608	0	Habitat_urban	en
1767608	0	Habitat_agriculture	en
1767608	1	Habitat_forest	en
1767608	1	Habitat_grassland	en
1767608	0	Habitat_heathland	en
1767608	0	Habitat_dunes	en
1767608	0	Habitat_fresh_marshes	en
1767608	0	Habitat_salt_marshes	en
1767625	bivoltine	Voltinism_max	en
1767625	0	Overwintering_egg	en
1767625	0	Overwintering_larva	en
1767625	1	Overwintering_pupa	en
1767625	0	Overwintering_adult	en
1767625	nocturnal	Diurnality	en
1767625	herbivore	Feeding_guild_larva	en
1767625	monophagous	Trophic_range_larva	en
1767625	0	Habitat_urban	en
1767625	0	Habitat_agriculture	en
1767625	1	Habitat_forest	en
1767625	0	Habitat_grassland	en
1767625	0	Habitat_heathland	en
1767625	0	Habitat_dunes	en
1767625	0	Habitat_fresh_marshes	en
1767625	0	Habitat_salt_marshes	en
1767597	bivoltine	Voltinism_max	en
1767597	0	Overwintering_egg	en
1767597	0	Overwintering_larva	en
1767597	1	Overwintering_pupa	en
1767597	0	Overwintering_adult	en
1767597	nocturnal	Diurnality	en
1767597	herbivore	Feeding_guild_larva	en
1767597	polyphagous	Trophic_range_larva	en
1767597	0	Habitat_urban	en
1767597	0	Habitat_agriculture	en
1767597	1	Habitat_forest	en
1767597	0	Habitat_grassland	en
1767597	0	Habitat_heathland	en
1767597	0	Habitat_dunes	en
1767597	0	Habitat_fresh_marshes	en
1767597	0	Habitat_salt_marshes	en
2020737	univoltine	Voltinism_max	en
2020737	herbivore	Feeding_guild_larva	en
2020737	herbivore	Feeding_guild_adult	en
2020737	0	Habitat_urban	en
2020737	0	Habitat_agriculture	en
2020737	1	Habitat_forest	en
2020737	1	Habitat_grassland	en
2020737	0	Habitat_heathland	en
2020737	0	Habitat_dunes	en
2020737	0	Habitat_fresh_marshes	en
2020737	0	Habitat_salt_marshes	en
4488996	univoltine	Voltinism_max	en
4488996	0	Overwintering_egg	en
4488996	0	Overwintering_larva	en
4488996	1	Overwintering_adult	en
4488996	herbivore	Feeding_guild_larva	en
4488996	herbivore	Feeding_guild_adult	en
4488996	0	Habitat_urban	en
4488996	0	Habitat_agriculture	en
4488996	0	Habitat_forest	en
4488996	0	Habitat_grassland	en
4488996	1	Habitat_heathland	en
4488996	1	Habitat_dunes	en
4488996	0	Habitat_fresh_marshes	en
4488996	0	Habitat_salt_marshes	en
4489008	univoltine	Voltinism_max	en
4489008	0	Overwintering_egg	en
4489008	1	Overwintering_larva	en
4489008	1	Overwintering_adult	en
4489008	herbivore	Feeding_guild_larva	en
4489008	herbivore	Feeding_guild_adult	en
4489008	0	Habitat_urban	en
4489008	0	Habitat_agriculture	en
4489008	1	Habitat_forest	en
4489008	1	Habitat_grassland	en
4489008	0	Habitat_heathland	en
4489008	0	Habitat_dunes	en
4489008	0	Habitat_fresh_marshes	en
4489008	0	Habitat_salt_marshes	en
4488988	univoltine	Voltinism_max	en
4488988	0	Overwintering_egg	en
4488988	0	Overwintering_larva	en
4488988	1	Overwintering_adult	en
4488988	herbivore	Feeding_guild_larva	en
4488988	herbivore	Feeding_guild_adult	en
4488988	oligophagous	Trophic_range_adult	en
4488988	0	Habitat_urban	en
4488988	0	Habitat_agriculture	en
4488988	1	Habitat_forest	en
4488988	1	Habitat_grassland	en
4488988	0	Habitat_heathland	en
4488988	0	Habitat_dunes	en
4488988	0	Habitat_fresh_marshes	en
4488988	0	Habitat_salt_marshes	en
4488999	univoltine	Voltinism_max	en
4488999	0	Overwintering_egg	en
4488999	1	Overwintering_larva	en
4488999	1	Overwintering_adult	en
4488999	herbivore	Feeding_guild_larva	en
4488999	herbivore	Feeding_guild_adult	en
4488999	0	Habitat_urban	en
4488999	0	Habitat_agriculture	en
4488999	0	Habitat_forest	en
4488999	0	Habitat_grassland	en
4488999	1	Habitat_heathland	en
4488999	0	Habitat_dunes	en
4488999	0	Habitat_fresh_marshes	en
4488999	0	Habitat_salt_marshes	en
2020740	univoltine	Voltinism_max	en
2020740	1	Overwintering_egg	en
2020740	0	Overwintering_larva	en
2020740	1	Overwintering_adult	en
2020740	herbivore	Feeding_guild_larva	en
2020740	herbivore	Feeding_guild_adult	en
2020740	oligophagous	Trophic_range_adult	en
2020740	0	Habitat_urban	en
2020740	0	Habitat_agriculture	en
2020740	0	Habitat_forest	en
2020740	1	Habitat_grassland	en
2020740	1	Habitat_heathland	en
2020740	0	Habitat_dunes	en
2020740	0	Habitat_fresh_marshes	en
2020740	0	Habitat_salt_marshes	en
4489001	univoltine	Voltinism_max	en
4489001	0	Overwintering_egg	en
4489001	0	Overwintering_larva	en
4489001	1	Overwintering_adult	en
4489001	herbivore	Feeding_guild_larva	en
4489001	herbivore	Feeding_guild_adult	en
4489001	0	Habitat_urban	en
4489001	0	Habitat_agriculture	en
4489001	0	Habitat_forest	en
4489001	0	Habitat_grassland	en
4489001	1	Habitat_heathland	en
4489001	0	Habitat_dunes	en
4489001	0	Habitat_fresh_marshes	en
4489001	0	Habitat_salt_marshes	en
5013501	0	Overwintering_egg	en
5013501	0	Overwintering_larva	en
5013501	0	Overwintering_pupa	en
5013501	1	Overwintering_adult	en
5013501	herbivore	Feeding_guild_larva	en
5013501	herbivore	Feeding_guild_adult	en
5013501	oligophagous	Trophic_range_larva	en
5013501	oligophagous	Trophic_range_adult	en
5013501	0	Habitat_urban	en
5013501	0	Habitat_agriculture	en
5013501	1	Habitat_forest	en
5013501	0	Habitat_grassland	en
5013501	0	Habitat_heathland	en
5013501	0	Habitat_dunes	en
5013501	1	Habitat_fresh_marshes	en
5013501	0	Habitat_salt_marshes	en
1067457	detritivore	Feeding_guild_larva	en
1067457	detritivore	Feeding_guild_adult	en
1067457	polyphagous	Trophic_range_larva	en
1067457	polyphagous	Trophic_range_adult	en
10595482	herbivore	Feeding_guild_larva	en
10595482	herbivore	Feeding_guild_adult	en
10595482	0	Habitat_urban	en
10595482	0	Habitat_agriculture	en
10595482	1	Habitat_forest	en
10595482	0	Habitat_grassland	en
10595482	0	Habitat_heathland	en
10595482	0	Habitat_dunes	en
10595482	0	Habitat_fresh_marshes	en
10595482	0	Habitat_salt_marshes	en
4459446	nocturnal	Diurnality	en
4459446	herbivore	Feeding_guild_larva	en
4459446	herbivore	Feeding_guild_adult	en
4459446	polyphagous	Trophic_range_larva	en
4459446	polyphagous	Trophic_range_adult	en
4459446	0	Habitat_urban	en
4459446	0	Habitat_agriculture	en
4459446	1	Habitat_forest	en
4459446	0	Habitat_grassland	en
4459446	0	Habitat_heathland	en
4459446	0	Habitat_dunes	en
4459446	0	Habitat_fresh_marshes	en
4459446	0	Habitat_salt_marshes	en
5866246	0	Overwintering_egg	en
5866246	0	Overwintering_larva	en
5866246	1	Overwintering_adult	en
5866246	herbivore	Feeding_guild_larva	en
5866246	herbivore	Feeding_guild_adult	en
5866246	0	Habitat_urban	en
5866246	0	Habitat_agriculture	en
5866246	1	Habitat_forest	en
5866246	0	Habitat_grassland	en
5866246	0	Habitat_heathland	en
5866246	0	Habitat_dunes	en
5866246	0	Habitat_fresh_marshes	en
5866246	0	Habitat_salt_marshes	en
2136710	carnivore	Feeding_guild_larva	en
2136710	carnivore	Feeding_guild_adult	en
2136710	polyphagous	Trophic_range_larva	en
2136710	polyphagous	Trophic_range_adult	en
2136710	0	Habitat_urban	en
2136710	0	Habitat_agriculture	en
2136710	0	Habitat_forest	en
2136710	0	Habitat_grassland	en
2136710	1	Habitat_heathland	en
2136710	1	Habitat_dunes	en
2136710	0	Habitat_fresh_marshes	en
2136710	0	Habitat_salt_marshes	en
1968206	univoltine	Voltinism_max	en
1968206	0	Overwintering_egg	en
1968206	0	Overwintering_larva	en
1968206	1	Overwintering_pupa	en
1968206	0	Overwintering_adult	en
1968206	nocturnal	Diurnality	en
1968206	herbivore	Feeding_guild_larva	en
1968206	monophagous	Trophic_range_larva	en
1968206	0	Habitat_urban	en
1968206	0	Habitat_agriculture	en
1968206	1	Habitat_forest	en
1968206	0	Habitat_grassland	en
1968206	0	Habitat_heathland	en
1968206	0	Habitat_dunes	en
1968206	0	Habitat_fresh_marshes	en
1968206	0	Habitat_salt_marshes	en
7681733	bivoltine	Voltinism_max	en
7681733	0	Overwintering_egg	en
7681733	0	Overwintering_larva	en
7681733	1	Overwintering_pupa	en
7681733	0	Overwintering_adult	en
7681733	nocturnal	Diurnality	en
7681733	herbivore	Feeding_guild_larva	en
7681733	polyphagous	Trophic_range_larva	en
7681733	0	Habitat_urban	en
7681733	0	Habitat_agriculture	en
7681733	1	Habitat_forest	en
7681733	0	Habitat_grassland	en
7681733	0	Habitat_heathland	en
7681733	0	Habitat_dunes	en
7681733	0	Habitat_fresh_marshes	en
7681733	0	Habitat_salt_marshes	en
4484044	univoltine	Voltinism_max	en
4484044	1	Overwintering_egg	en
4484044	0	Overwintering_larva	en
4484044	0	Overwintering_adult	en
4484044	herbivore	Feeding_guild_larva	en
4484044	herbivore	Feeding_guild_adult	en
4484044	oligophagous	Trophic_range_adult	en
4484044	1	Habitat_urban	en
4484044	0	Habitat_agriculture	en
4484044	1	Habitat_forest	en
4484044	0	Habitat_grassland	en
4484044	0	Habitat_heathland	en
4484044	0	Habitat_dunes	en
4484044	1	Habitat_fresh_marshes	en
4484044	0	Habitat_salt_marshes	en
4484051	univoltine	Voltinism_max	en
4484051	0	Overwintering_egg	en
4484051	0	Overwintering_larva	en
4484051	1	Overwintering_adult	en
4484051	herbivore	Feeding_guild_larva	en
4484051	herbivore	Feeding_guild_adult	en
4484051	oligophagous	Trophic_range_adult	en
4484051	1	Habitat_urban	en
4484051	0	Habitat_agriculture	en
4484051	1	Habitat_forest	en
4484051	0	Habitat_grassland	en
4484051	0	Habitat_heathland	en
4484051	0	Habitat_dunes	en
4484051	0	Habitat_fresh_marshes	en
4484051	0	Habitat_salt_marshes	en
4484047	0	Overwintering_egg	en
4484047	0	Overwintering_larva	en
4484047	1	Overwintering_adult	en
4484047	herbivore	Feeding_guild_larva	en
4484047	herbivore	Feeding_guild_adult	en
4484047	monophagous	Trophic_range_larva	en
4484047	monophagous	Trophic_range_adult	en
4484047	0	Habitat_urban	en
4484047	0	Habitat_agriculture	en
4484047	1	Habitat_forest	en
4484047	0	Habitat_grassland	en
4484047	0	Habitat_heathland	en
4484047	0	Habitat_dunes	en
4484047	0	Habitat_fresh_marshes	en
4484047	0	Habitat_salt_marshes	en
8426653	univoltine	Voltinism_max	en
8426653	1	Overwintering_egg	en
8426653	0	Overwintering_larva	en
8426653	0	Overwintering_adult	en
8426653	herbivore	Feeding_guild_larva	en
8426653	herbivore	Feeding_guild_adult	en
8426653	oligophagous	Trophic_range_larva	en
8426653	oligophagous	Trophic_range_adult	en
8426653	0	Habitat_urban	en
8426653	0	Habitat_agriculture	en
8426653	0	Habitat_forest	en
8426653	1	Habitat_grassland	en
8426653	1	Habitat_heathland	en
8426653	0	Habitat_dunes	en
8426653	0	Habitat_fresh_marshes	en
8426653	0	Habitat_salt_marshes	en
4487294	univoltine	Voltinism_max	en
4487294	1	Overwintering_egg	en
4487294	0	Overwintering_larva	en
4487294	0	Overwintering_adult	en
4487294	herbivore	Feeding_guild_larva	en
4487294	herbivore	Feeding_guild_adult	en
4487294	oligophagous	Trophic_range_larva	en
4487294	oligophagous	Trophic_range_adult	en
4487294	0	Habitat_urban	en
4487294	0	Habitat_agriculture	en
4487294	0	Habitat_forest	en
4487294	1	Habitat_grassland	en
4487294	0	Habitat_heathland	en
4487294	0	Habitat_dunes	en
4487294	0	Habitat_fresh_marshes	en
4487294	0	Habitat_salt_marshes	en
1605813	univoltine	Voltinism_max	en
1605813	0	Overwintering_egg	en
1605813	1	Overwintering_larva	en
1605813	0	Overwintering_pupa	en
1605813	0	Overwintering_adult	en
1605813	0	Habitat_urban	en
1605813	0	Habitat_agriculture	en
1605813	0	Habitat_forest	en
1605813	0	Habitat_grassland	en
1605813	0	Habitat_heathland	en
1605813	0	Habitat_dunes	en
1605813	1	Habitat_fresh_marshes	en
1605813	0	Habitat_salt_marshes	en
1605818	bivoltine	Voltinism_max	en
1605818	0	Overwintering_egg	en
1605818	1	Overwintering_larva	en
1605818	0	Overwintering_pupa	en
1605818	1	Overwintering_adult	en
1605818	0	Habitat_urban	en
1605818	0	Habitat_agriculture	en
1605818	0	Habitat_forest	en
1605818	0	Habitat_grassland	en
1605818	0	Habitat_heathland	en
1605818	0	Habitat_dunes	en
1605818	1	Habitat_fresh_marshes	en
1605818	0	Habitat_salt_marshes	en
1605803	univoltine	Voltinism_max	en
1605803	0	Overwintering_egg	en
1605803	1	Overwintering_larva	en
1605803	0	Overwintering_pupa	en
1605803	0	Overwintering_adult	en
1605803	0	Habitat_urban	en
1605803	0	Habitat_agriculture	en
1605803	0	Habitat_forest	en
1605803	0	Habitat_grassland	en
1605803	0	Habitat_heathland	en
1605803	0	Habitat_dunes	en
1605803	1	Habitat_fresh_marshes	en
1605803	0	Habitat_salt_marshes	en
1605801	univoltine	Voltinism_max	en
1605801	0	Overwintering_egg	en
1605801	1	Overwintering_larva	en
1605801	0	Overwintering_pupa	en
1605801	0	Overwintering_adult	en
1605801	0	Habitat_urban	en
1605801	0	Habitat_agriculture	en
1605801	1	Habitat_forest	en
1605801	0	Habitat_grassland	en
1605801	0	Habitat_heathland	en
1605801	0	Habitat_dunes	en
1605801	0	Habitat_fresh_marshes	en
1605801	0	Habitat_salt_marshes	en
1605814	bivoltine	Voltinism_max	en
1605814	0	Overwintering_egg	en
1605814	1	Overwintering_larva	en
1605814	0	Overwintering_pupa	en
1605814	1	Overwintering_adult	en
1605814	0	Habitat_urban	en
1605814	0	Habitat_agriculture	en
1605814	0	Habitat_forest	en
1605814	0	Habitat_grassland	en
1605814	0	Habitat_heathland	en
1605814	0	Habitat_dunes	en
1605814	1	Habitat_fresh_marshes	en
1605814	0	Habitat_salt_marshes	en
1605830	univoltine	Voltinism_max	en
1605830	0	Overwintering_egg	en
1605830	1	Overwintering_larva	en
1605830	0	Overwintering_pupa	en
1605830	0	Overwintering_adult	en
1605830	0	Habitat_urban	en
1605830	0	Habitat_agriculture	en
1605830	0	Habitat_forest	en
1605830	0	Habitat_grassland	en
1605830	0	Habitat_heathland	en
1605830	0	Habitat_dunes	en
1605830	1	Habitat_fresh_marshes	en
1605830	0	Habitat_salt_marshes	en
1861510	bivoltine	Voltinism_max	en
1861510	0	Overwintering_egg	en
1861510	0	Overwintering_larva	en
1861510	1	Overwintering_pupa	en
1861510	0	Overwintering_adult	en
1861510	nocturnal	Diurnality	en
1861510	herbivore	Feeding_guild_larva	en
1861510	oligophagous	Trophic_range_larva	en
1861510	1	Habitat_urban	en
1861510	1	Habitat_agriculture	en
1861510	0	Habitat_forest	en
1861510	0	Habitat_grassland	en
1861510	0	Habitat_heathland	en
1861510	0	Habitat_dunes	en
1861510	0	Habitat_fresh_marshes	en
1861510	0	Habitat_salt_marshes	en
1952229	univoltine	Voltinism_max	en
1952229	0	Overwintering_egg	en
1952229	0	Overwintering_larva	en
1952229	1	Overwintering_pupa	en
1952229	0	Overwintering_adult	en
1952229	nocturnal	Diurnality	en
1952229	herbivore	Feeding_guild_larva	en
1952229	oligophagous	Trophic_range_larva	en
1952229	0	Habitat_urban	en
1952229	0	Habitat_agriculture	en
1952229	1	Habitat_forest	en
1952229	0	Habitat_grassland	en
1952229	1	Habitat_heathland	en
1952229	0	Habitat_dunes	en
1952229	0	Habitat_fresh_marshes	en
1952229	0	Habitat_salt_marshes	en
4431220	herbivore	Feeding_guild_larva	en
4431220	polyphagous	Trophic_range_larva	en
1118085	herbivore	Feeding_guild_larva	en
1118085	herbivore	Feeding_guild_adult	en
1118085	0	Habitat_urban	en
1118085	0	Habitat_agriculture	en
1118085	1	Habitat_forest	en
1118085	0	Habitat_grassland	en
1118085	0	Habitat_heathland	en
1118085	0	Habitat_dunes	en
1118085	0	Habitat_fresh_marshes	en
1118085	0	Habitat_salt_marshes	en
4487217	univoltine	Voltinism_max	en
4487217	0	Overwintering_egg	en
4487217	0	Overwintering_larva	en
4487217	1	Overwintering_adult	en
4487217	carnivore	Feeding_guild_larva	en
4487217	carnivore	Feeding_guild_adult	en
4487217	polyphagous	Trophic_range_larva	en
4487217	polyphagous	Trophic_range_adult	en
4487217	0	Habitat_urban	en
4487217	0	Habitat_agriculture	en
4487217	1	Habitat_forest	en
4487217	0	Habitat_grassland	en
4487217	0	Habitat_heathland	en
4487217	0	Habitat_dunes	en
4487217	0	Habitat_fresh_marshes	en
4487217	0	Habitat_salt_marshes	en
4486711	univoltine	Voltinism_max	en
4486711	0	Overwintering_egg	en
4486711	0	Overwintering_larva	en
4486711	1	Overwintering_adult	en
4486711	herbivore	Feeding_guild_larva	en
4486711	herbivore	Feeding_guild_adult	en
4486711	oligophagous	Trophic_range_larva	en
4486711	oligophagous	Trophic_range_adult	en
4486711	0	Habitat_urban	en
4486711	0	Habitat_agriculture	en
4486711	1	Habitat_forest	en
4486711	1	Habitat_grassland	en
4486711	0	Habitat_heathland	en
4486711	0	Habitat_dunes	en
4486711	1	Habitat_fresh_marshes	en
4486711	0	Habitat_salt_marshes	en
1763072	bivoltine	Voltinism_max	en
1763072	0	Overwintering_egg	en
1763072	0	Overwintering_larva	en
1763072	1	Overwintering_pupa	en
1763072	0	Overwintering_adult	en
1763072	nocturnal	Diurnality	en
1763072	herbivore	Feeding_guild_larva	en
1763072	polyphagous	Trophic_range_larva	en
1763072	0	Habitat_urban	en
1763072	1	Habitat_agriculture	en
1763072	0	Habitat_forest	en
1763072	1	Habitat_grassland	en
1763072	0	Habitat_heathland	en
1763072	0	Habitat_dunes	en
1763072	0	Habitat_fresh_marshes	en
1763072	0	Habitat_salt_marshes	en
5772063	bivoltine	Voltinism_max	en
5772063	0	Overwintering_egg	en
5772063	0	Overwintering_larva	en
5772063	1	Overwintering_pupa	en
5772063	0	Overwintering_adult	en
5772063	cathemeral	Diurnality	en
5772063	herbivore	Feeding_guild_larva	en
5772063	monophagous	Trophic_range_larva	en
5772063	0	Habitat_urban	en
5772063	1	Habitat_agriculture	en
5772063	0	Habitat_forest	en
5772063	1	Habitat_grassland	en
5772063	1	Habitat_heathland	en
5772063	0	Habitat_dunes	en
5772063	0	Habitat_fresh_marshes	en
5772063	0	Habitat_salt_marshes	en
8150836	univoltine	Voltinism_max	en
8150836	0	Overwintering_egg	en
8150836	0	Overwintering_larva	en
8150836	1	Overwintering_pupa	en
8150836	0	Overwintering_adult	en
8150836	nocturnal	Diurnality	en
8150836	herbivore	Feeding_guild_larva	en
8150836	monophagous	Trophic_range_larva	en
8150836	0	Habitat_urban	en
8150836	0	Habitat_agriculture	en
8150836	0	Habitat_forest	en
8150836	1	Habitat_grassland	en
8150836	0	Habitat_heathland	en
8150836	0	Habitat_dunes	en
8150836	1	Habitat_fresh_marshes	en
8150836	0	Habitat_salt_marshes	en
1782763	bivoltine	Voltinism_max	en
1782763	0	Overwintering_egg	en
1782763	0	Overwintering_larva	en
1782763	1	Overwintering_pupa	en
1782763	0	Overwintering_adult	en
1782763	nocturnal	Diurnality	en
1782763	herbivore	Feeding_guild_larva	en
1782763	polyphagous	Trophic_range_larva	en
1782763	0	Habitat_urban	en
1782763	0	Habitat_agriculture	en
1782763	1	Habitat_forest	en
1782763	0	Habitat_grassland	en
1782763	0	Habitat_heathland	en
1782763	0	Habitat_dunes	en
1782763	0	Habitat_fresh_marshes	en
1782763	0	Habitat_salt_marshes	en
1782726	bivoltine	Voltinism_max	en
1782726	0	Overwintering_egg	en
1782726	0	Overwintering_larva	en
1782726	1	Overwintering_pupa	en
1782726	0	Overwintering_adult	en
1782726	nocturnal	Diurnality	en
1782726	herbivore	Feeding_guild_larva	en
1782726	polyphagous	Trophic_range_larva	en
1782726	0	Habitat_urban	en
1782726	0	Habitat_agriculture	en
1782726	1	Habitat_forest	en
1782726	0	Habitat_grassland	en
1782726	0	Habitat_heathland	en
1782726	0	Habitat_dunes	en
1782726	1	Habitat_fresh_marshes	en
1782726	0	Habitat_salt_marshes	en
1782927	bivoltine	Voltinism_max	en
1782927	0	Overwintering_egg	en
1782927	0	Overwintering_larva	en
1782927	1	Overwintering_pupa	en
1782927	0	Overwintering_adult	en
1782927	nocturnal	Diurnality	en
1782927	herbivore	Feeding_guild_larva	en
1782927	polyphagous	Trophic_range_larva	en
1782927	0	Habitat_urban	en
1782927	0	Habitat_agriculture	en
1782927	1	Habitat_forest	en
1782927	0	Habitat_grassland	en
1782927	0	Habitat_heathland	en
1782927	0	Habitat_dunes	en
1782927	0	Habitat_fresh_marshes	en
1782927	0	Habitat_salt_marshes	en
1783045	0	Overwintering_egg	en
1783045	0	Overwintering_larva	en
1783045	1	Overwintering_pupa	en
1783045	0	Overwintering_adult	en
1783045	nocturnal	Diurnality	en
1783045	herbivore	Feeding_guild_larva	en
1783045	polyphagous	Trophic_range_larva	en
1783045	0	Habitat_urban	en
1783045	0	Habitat_agriculture	en
1783045	0	Habitat_forest	en
1783045	0	Habitat_grassland	en
1783045	1	Habitat_heathland	en
1783045	0	Habitat_dunes	en
1783045	0	Habitat_fresh_marshes	en
1783045	0	Habitat_salt_marshes	en
7825213	bivoltine	Voltinism_max	en
7825213	0	Overwintering_egg	en
7825213	0	Overwintering_larva	en
7825213	1	Overwintering_pupa	en
7825213	0	Overwintering_adult	en
7825213	nocturnal	Diurnality	en
7825213	herbivore	Feeding_guild_larva	en
7825213	monophagous	Trophic_range_larva	en
7825213	0	Habitat_urban	en
7825213	0	Habitat_agriculture	en
7825213	1	Habitat_forest	en
7825213	0	Habitat_grassland	en
7825213	0	Habitat_heathland	en
7825213	0	Habitat_dunes	en
7825213	0	Habitat_fresh_marshes	en
7825213	0	Habitat_salt_marshes	en
1782727	bivoltine	Voltinism_max	en
1782727	0	Overwintering_egg	en
1782727	0	Overwintering_larva	en
1782727	1	Overwintering_pupa	en
1782727	0	Overwintering_adult	en
1782727	nocturnal	Diurnality	en
1782727	herbivore	Feeding_guild_larva	en
1782727	polyphagous	Trophic_range_larva	en
1782727	0	Habitat_urban	en
1782727	0	Habitat_agriculture	en
1782727	0	Habitat_forest	en
1782727	0	Habitat_grassland	en
1782727	1	Habitat_heathland	en
1782727	0	Habitat_dunes	en
1782727	1	Habitat_fresh_marshes	en
1782727	0	Habitat_salt_marshes	en
1783043	bivoltine	Voltinism_max	en
1783043	0	Overwintering_egg	en
1783043	0	Overwintering_larva	en
1783043	1	Overwintering_pupa	en
1783043	0	Overwintering_adult	en
1783043	nocturnal	Diurnality	en
1783043	herbivore	Feeding_guild_larva	en
1783043	polyphagous	Trophic_range_larva	en
1783043	0	Habitat_urban	en
1783043	0	Habitat_agriculture	en
1783043	1	Habitat_forest	en
1783043	0	Habitat_grassland	en
1783043	1	Habitat_heathland	en
1783043	0	Habitat_dunes	en
1783043	1	Habitat_fresh_marshes	en
1783043	0	Habitat_salt_marshes	en
1782777	bivoltine	Voltinism_max	en
1782777	0	Overwintering_egg	en
1782777	0	Overwintering_larva	en
1782777	1	Overwintering_pupa	en
1782777	0	Overwintering_adult	en
1782777	nocturnal	Diurnality	en
1782777	herbivore	Feeding_guild_larva	en
1782777	pollinator	Feeding_guild_adult	en
1782777	oligophagous	Trophic_range_larva	en
1782777	1	Habitat_urban	en
1782777	0	Habitat_agriculture	en
1782777	1	Habitat_forest	en
1782777	0	Habitat_grassland	en
1782777	0	Habitat_heathland	en
1782777	0	Habitat_dunes	en
1782777	1	Habitat_fresh_marshes	en
1782777	0	Habitat_salt_marshes	en
1783037	bivoltine	Voltinism_max	en
1783037	0	Overwintering_egg	en
1783037	0	Overwintering_larva	en
1783037	1	Overwintering_pupa	en
1783037	0	Overwintering_adult	en
1783037	nocturnal	Diurnality	en
1783037	herbivore	Feeding_guild_larva	en
